Java HotSpot(TM) 64-Bit Server VM (25.101-b13) for bsd-amd64 JRE (1.8.0_101-b13), built on Jun 22 2016 02:42:15 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(1015292k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=1048576 -XX:NewSize=1048576 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2.981: [GC (Allocation Failure) 2.981: [DefNew: 959K->63K(960K), 0.0038117 secs] 100879K->100877K(1048512K), 0.0039204 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
3.008: [GC (Allocation Failure) 3.008: [DefNew: 959K->63K(960K), 0.0030564 secs] 101773K->101770K(1048512K), 0.0030998 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.035: [GC (Allocation Failure) 3.035: [DefNew: 959K->64K(960K), 0.0028762 secs] 102666K->102661K(1048512K), 0.0029242 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.058: [GC (Allocation Failure) 3.058: [DefNew: 960K->64K(960K), 0.0037192 secs] 103557K->103553K(1048512K), 0.0037655 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.083: [GC (Allocation Failure) 3.083: [DefNew: 960K->64K(960K), 0.0029043 secs] 104449K->104448K(1048512K), 0.0029557 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.107: [GC (Allocation Failure) 3.107: [DefNew: 960K->64K(960K), 0.0037937 secs] 105344K->105340K(1048512K), 0.0038412 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
3.133: [GC (Allocation Failure) 3.133: [DefNew: 960K->63K(960K), 0.0030494 secs] 106236K->106231K(1048512K), 0.0030919 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
3.159: [GC (Allocation Failure) 3.159: [DefNew: 959K->63K(960K), 0.0031345 secs] 107127K->107124K(1048512K), 0.0031837 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.183: [GC (Allocation Failure) 3.183: [DefNew: 959K->63K(960K), 0.0029421 secs] 108020K->108017K(1048512K), 0.0029957 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
3.209: [GC (Allocation Failure) 3.209: [DefNew: 959K->63K(960K), 0.0030814 secs] 108913K->108909K(1048512K), 0.0031317 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.235: [GC (Allocation Failure) 3.235: [DefNew: 959K->63K(960K), 0.0030186 secs] 109805K->109800K(1048512K), 0.0030671 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
